source,target,weight
Aleja Kromera,pl. Orlšt Lwowskich,1
Aleja Kromera,pl. Powstańców Wielkopolskich,21
Aleja Kromera,Łukasiewicza / Smoluchowskiego (PWr),3
Aleja Kromera,lężna / Kamienna (Uniw. Ekonomiczny),1
Aleja Kromera,widnicka / Piłsudskiego (Hotel Scandic),4
Aleja Kromera,wieradowska (Ferio Gaj ),1
Aleja Kromera,wieradowska / Krynicka,1
Aleja Kromera,Żeromskiego / Daszyńskiego,44
Aleja Kromera,Żeromskiego / Kluczborska,6
Aleja Kromera,Żmigrodzka / Broniewskiego,75
Aleja Kromera,Żmigrodzka / Marino,20
Angel,Angel,11
Angel,Dworzec Główny,2
Angel,Dworzec Główny południe,2
Angel,Grota-Roweckiego / Parafialna,1
Angel,Janiszewskiego (PWr),2
Angel,Jednoci Narodowej / Wyszyńskiego,1
Angel,Joliot-Curie (Uwr),1
Angel,Kociuszki / Komuny Paryskiej / Zgodna,2
Angel,Kociuszki / Pułaskiego,1
Angel,Nowowiejska / Jednoci Narodowej,1
Angel,Piaskowa / w. Ducha,2
Angel,Plac Dominikański (Galeria Dominikańska),3
Angel,Poleska / Litewska,2
Angel,Powstańców lšskich (Arkady Wrocławskie),1
Angel,Promenady Wrocławskie,2
Angel,Rondo Reagana,4
Angel,Rynek,3
Angel,Sienkiewicza / Piastowska,1
Angel,Sienkiewicza / Wyszyńskiego,1
Angel,Traugutta / Kociuszki,2
Angel,Traugutta / Pułaskiego,4
Angel,Wita Stwosza / Szewska,3
Angel,Wyszyńskiego / Szczytnicka,1
Angel,al. Armii Krajowej / Tarnogajska,5
Angel,al. Brücknera / Kwidzyńska,3
Angel,pl. Powstańców Wielkopolskich,2
Angel,lężna / Kamienna (Uniw. Ekonomiczny),2
Bacciarellego,Aleja Kromera,2
Bacciarellego,Bacciarellego,166
Bacciarellego,Bacciarellego / pętla autobusowa,87
Bacciarellego,Bałtycka / Żmigrodzka,2
Bacciarellego,Bezpieczna / Obornicka,1
Bacciarellego,Borowska (Uniw. Szpital Kliniczny),3
Bacciarellego,Dworzec Główny,1
Bacciarellego,Fosa Miejska ,1
Bacciarellego,Gorlicka / Litewska,2
Bacciarellego,Grabiszyńska / Aleja Hallera,1
Bacciarellego,Janiszewskiego (PWr),10
Bacciarellego,Joliot-Curie (Uwr),1
Bacciarellego,Kazimierza Wielkiego (Helios),3
Bacciarellego,Koszarowa / UWr,5
Bacciarellego,Kociuszki / Komuny Paryskiej / Zgodna,1
Bacciarellego,Krzywoustego / Korona,3
Bacciarellego,Marca Polo (Olimpia Port),26
Bacciarellego,Mickiewicza / pętla tramwajowa,114
Bacciarellego,Miłoszycka / Swojczycka,2
Bacciarellego,Na Grobli (PWr - Geocentrum),1
Bacciarellego,Norwida / Wyspiańskiego (PWr),15
Bacciarellego,Nowowiejska / Górnickiego,3
Bacciarellego,Nyska / Jesionowa,1
Bacciarellego,Nyska / Piękna,1
Bacciarellego,Olszewskiego / Spółdzielcza,67
Bacciarellego,Olszewskiego pętla tramwajowa,37
Bacciarellego,Paprotna / Obornicka zajezdnia MPK,1
Bacciarellego,Partyzantów / Okrzei,28
Bacciarellego,Piaskowa / w. Ducha,1
Bacciarellego,Plac Dominikański (Galeria Dominikańska),7
Bacciarellego,Plac Grunwaldzki (DS Ołówek),6
Bacciarellego,Plac Grunwaldzki / Polaka,7
Bacciarellego,Plac Kociuszki (Renoma),1
Bacciarellego,Plac Powstańców Warszawy (Muzeum Narodowe),2
Bacciarellego,Plac Strzegomski / Poznańska,3
Bacciarellego,Plac Uniwersytecki (UWr),2
Bacciarellego,Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),14
Bacciarellego,Rondo Reagana,33
Bacciarellego,Sienkiewicza / Piastowska,2
Bacciarellego,Sienkiewicza / Wyszyńskiego,1
Bacciarellego,Stadion Olimpijski,6
Bacciarellego,Strachocińska / Wieniacza,21
Bacciarellego,Szewska / Kazimierza Wielkiego ,1
Bacciarellego,Traugutta / Kociuszki,2
Bacciarellego,Wita Stwosza / Szewska,1
Bacciarellego,Wróblewskiego (Teki),61
Bacciarellego,Wróblewskiego (ZOO),33
Bacciarellego,Wyszyńskiego / Szczytnicka,5
Bacciarellego,al. Brücknera / Kwidzyńska,5
Bacciarellego,al. Kochanowskiego / Kopernika,8
Bacciarellego,al. Kochanowskiego / niadeckich ,6
Bacciarellego,pl. Orlšt Lwowskich,1
Bacciarellego,pl. Powstańców Wielkopolskich,1
Bacciarellego,Łukasiewicza / Smoluchowskiego (PWr),17
Bacciarellego,rubowa / Strzegomska,1
Bacciarellego,widnicka / Piłsudskiego (Hotel Scandic),1
Bacciarellego,Żmigrodzka / Broniewskiego,1
Bacciarellego / pętla autobusowa,Aleja Kromera,2
Bacciarellego / pętla autobusowa,Bacciarellego,112
Bacciarellego / pętla autobusowa,Bacciarellego / pętla autobusowa,215
Bacciarellego / pętla autobusowa,Drzewieckiego / Dedala,2
Bacciarellego / pętla autobusowa,Dworzec Główny,3
Bacciarellego / pętla autobusowa,Dworzec Główny południe,2
Bacciarellego / pętla autobusowa,Fosa Miejska ,2
Bacciarellego / pętla autobusowa,Grabiszyńska / Magazynierska (Corte Verona),2
Bacciarellego / pętla autobusowa,Janiszewskiego (PWr),7
Bacciarellego / pętla autobusowa,Jednoci Narodowej / Wyszyńskiego,1
Bacciarellego / pętla autobusowa,Kazimierza Wielkiego (Helios),2
Bacciarellego / pętla autobusowa,Koszarowa / UWr,1
Bacciarellego / pętla autobusowa,Krzywoustego - Rynek Psie Pole,4
Bacciarellego / pętla autobusowa,Kwidzyńska pętla,1
Bacciarellego / pętla autobusowa,Legnicka (Park Magnolia),1
Bacciarellego / pętla autobusowa,Legnicka / Młodych Techników,3
Bacciarellego / pętla autobusowa,Legnicka / Zachodnia ,1
Bacciarellego / pętla autobusowa,Marca Polo (Olimpia Port),155
Bacciarellego / pętla autobusowa,Mickiewicza / pętla tramwajowa,42
Bacciarellego / pętla autobusowa,Miłoszycka / Swojczycka,5
Bacciarellego / pętla autobusowa,Mocickiego (stacja kolejowa),1
Bacciarellego / pętla autobusowa,Na Grobli (PWr - Geocentrum),2
Bacciarellego / pętla autobusowa,Norwida / Wyspiańskiego (PWr),6
Bacciarellego / pętla autobusowa,Nowowiejska / Wyszyńskiego,7
Bacciarellego / pętla autobusowa,Olszewskiego / Spółdzielcza,89
Bacciarellego / pętla autobusowa,Olszewskiego pętla tramwajowa,56
Bacciarellego / pętla autobusowa,Partyzantów / Okrzei,54
Bacciarellego / pętla autobusowa,Plac Grunwaldzki (DS Ołówek),8
Bacciarellego / pętla autobusowa,Plac Grunwaldzki / Polaka,2
Bacciarellego / pętla autobusowa,Plac Legionów,1
Bacciarellego / pętla autobusowa,Plac Powstańców Warszawy (Muzeum Narodowe),5
Bacciarellego / pętla autobusowa,Plac Powstańców lšskich,1
Bacciarellego / pętla autobusowa,Plac Staszica,1
Bacciarellego / pętla autobusowa,Plac Strzegomski / Poznańska,5
Bacciarellego / pętla autobusowa,Poniatowskiego / Olenicka,2
Bacciarellego / pętla autobusowa,Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),3
Bacciarellego / pętla autobusowa,Rondo Reagana,17
Bacciarellego / pętla autobusowa,Sienkiewicza / Piastowska,2
Bacciarellego / pętla autobusowa,Stacyjna (Dworzec Mikołajów),1
Bacciarellego / pętla autobusowa,Stadion Olimpijski,12
Bacciarellego / pętla autobusowa,Strachocińska / Wieniacza,20
Bacciarellego / pętla autobusowa,Tarnogajska / Klimasa,1
Bacciarellego / pętla autobusowa,Traugutta / Kociuszki,2
Bacciarellego / pętla autobusowa,Traugutta / Pułaskiego,2
Bacciarellego / pętla autobusowa,Wita Stwosza / Szewska,1
Bacciarellego / pętla autobusowa,Wróblewskiego (Teki),63
Bacciarellego / pętla autobusowa,Wróblewskiego (ZOO),40
Bacciarellego / pętla autobusowa,Wyszyńskiego / Szczytnicka,2
Bacciarellego / pętla autobusowa,Zaporoska / Gajowicka,2
Bacciarellego / pętla autobusowa,al. Brücknera / Kwidzyńska,5
Bacciarellego / pętla autobusowa,al. Kochanowskiego / Kopernika,12
Bacciarellego / pętla autobusowa,pl. Powstańców Wielkopolskich,1
Bacciarellego / pętla autobusowa,Łukasiewicza / Smoluchowskiego (PWr),37
Bacciarellego / pętla autobusowa,lężna / Kamienna (Uniw. Ekonomiczny),1
Bacciarellego / pętla autobusowa,rubowa / Strzegomska,1
Bacciarellego / pętla autobusowa,wieradowska (Ferio Gaj ),1
Bacciarellego / pętla autobusowa,Żmigrodzka / Marino,1
Bardzka (cmentarz),Bardzka (cmentarz),2
Bardzka (cmentarz),Buforowa - Vivaldiego,8
Bardzka (cmentarz),Jagodzińska / Buforowa,2
Bardzka (cmentarz),Konduktorska,1
Bardzka (cmentarz),Mocickiego (stacja kolejowa),1
Bardzka (cmentarz),Nyska / Jesionowa,1
Bardzka (cmentarz),Nyska / Piękna,1
Bardzka (cmentarz),Plac Kociuszki (Renoma),1
Bardzka (cmentarz),Plac Legionów,1
Bardzka (cmentarz),Powstańcow lšskich / Aleja Hallera,1
Bardzka (cmentarz),Semaforowa,1
Bardzka (cmentarz),Tarnogajska / Klimasa,2
Bardzka (cmentarz),al. Armii Krajowej / Bardzka,5
Bardzka (cmentarz),al. Armii Krajowej / Borowska,4
Bardzka (cmentarz),wieradowska (Ferio Gaj ),4
Bardzka (cmentarz),wieradowska / Krynicka,1
Bardzka / Piękna,Aleja Hallera / Mielecka,15
Bardzka / Piękna,Bardzka (cmentarz),1
Bardzka / Piękna,Bardzka / Piękna,270
Bardzka / Piękna,Bałtycka / Żmigrodzka,1
Bardzka / Piękna,Berenta / Kasprowicza,1
Bardzka / Piękna,Borowska (Uniw. Szpital Kliniczny),37
