id,lat,lng,name,betweenness,closeness_in,closeness_out,clust_coeff,degree,pagerank,strength_in,strength_out,force_x,force_y
0,51.108004,17.039528,Plac Dominikański (Galeria Dominikańska),395.16846197667394,0.0019723865877712,0.0020661157024793398,0.167253493576201,358,0.0144101789411834,8074,8105,51.10374109861671,17.04705008493481
1,51.097108064432,17.036109566689,Dworzec Główny południe,278.082178283478,0.00191938579654511,0.0020703933747412,0.188989096782878,323,0.0138937819648366,8168,8434,51.119310908816864,17.044347530952965
2,51.109782,17.030175,Rynek,268.084293273448,0.00192307692307692,0.00201612903225806,0.20726392251816,295,0.0109087799176004,5954,6057,51.10278593249219,17.025575029176157
3,51.09975,17.036228,Dworzec Główny,144.932342804474,0.00199203187250996,0.00191938579654511,0.231646586345382,250,0.0060999336040492205,2630,2649,51.10913810592892,17.040547564261463
4,51.124879,17.045844,Nowowiejska / Jednoci Narodowej,163.456055912754,0.0019607843137254897,0.00185873605947955,0.3515432098765431,81,0.00235775733558793,706,714,51.08691294843921,17.064886950566322
5,51.125276,16.984447,Legnicka / Wejherowska,237.492927083405,0.0018867924528301898,0.00203252032520325,0.40095141012572205,109,0.00277817539248219,966,969,51.08949168177859,16.9789835027687
6,51.126907,16.978759,Lotnicza / Na Ostatnim Groszu,295.883210083821,0.0020202020202020198,0.00200400801603206,0.273843967311304,199,0.00356197838962474,1235,1255,51.09294336606622,16.97302960776189
7,51.095322,17.033388000000002,Dyrekcyjna / Borowska (Wroclavia),281.473991862869,0.0020242914979757103,0.00200803212851406,0.285636645962733,161,0.00283631261371604,850,852,51.124083354622904,17.042536351770202
8,51.112154,17.060451,Rondo Reagana,107.946096589391,0.00195694716242661,0.0019379844961240301,0.250400384368994,224,0.0034796094410963698,1334,1308,51.09270905176063,17.050480278352133
9,51.100862,17.008224,Pereca / Grabiszyńska,284.581537793479,0.00204918032786885,0.002,0.26208955223880603,201,0.00392738578448286,1573,1607,51.114287896802715,17.007969085195807
10,51.086689,17.01248,Powstańcow lšskich / Aleja Hallera,252.759600763086,0.00212765957446809,0.00192307692307692,0.258213881089602,202,0.00376758633999341,1438,1485,51.12780061043191,17.028106303991063
11,51.094413,16.980911,Grabiszyńska / Aleja Hallera,718.353349647259,0.00206185567010309,0.00203665987780041,0.25352977286678896,181,0.00531372921106748,1522,1522,51.12268849625923,16.992962446766555
12,51.094521,17.020876,Szczęliwa (Sky Tower),287.133773400356,0.00204918032786885,0.00203665987780041,0.263305322128852,154,0.0036220496543664703,979,1023,51.119439192478694,17.02788179774354
13,51.112911,17.001360000000002,rubowa / Strzegomska,290.587629923527,0.0020661157024793398,0.00203252032520325,0.209984639016897,280,0.00791540964251693,3883,4296,51.104042233276985,16.996059517932178
14,51.105207,17.053675,Na Grobli (PWr - Geocentrum),225.752060840092,0.00200803212851406,0.0019880715705765397,0.29239341085271303,129,0.00320011905988932,778,734,51.1024175908553,17.065416590498234
15,51.088908,17.034051,Kamienna / Borowska (Aquapark),256.987184265719,0.00210526315789474,0.00201207243460765,0.2754458656098,183,0.00318536608746373,1079,1094,51.126585763046926,17.046448541406285
16,51.113562051419,17.050673961639,Wyszyńskiego / Szczytnicka,363.363883436103,0.0020408163265306103,0.00209643605870021,0.303649068322981,161,0.00431055251214073,1597,1550,51.099712360484986,17.043342891192804
17,51.111727,17.06768,Radeckiego / Marcinkowskiego (Uniw. Medyczny - CNIM),267.892255371991,0.0020746887966805,0.0020242914979757103,0.254453548571196,222,0.0040679023034304205,1629,1491,51.07383919157089,17.032991504122275
18,51.074868,17.032457,Borowska (Uniw. Szpital Kliniczny),202.321081225932,0.00200400801603206,0.0019120458891013399,0.32125279642058197,150,0.00397315748574733,1148,1135,51.13739589641363,17.046336035419106
19,51.121059,16.993088,Legnicka (Park Magnolia),329.857766101759,0.0020833333333333303,0.00211864406779661,0.252272727272727,176,0.00474708344512839,1417,1434,51.09743555746568,16.987032451021363
20,51.118237,17.028792000000006,Kurkowa / Dubois,387.349474344442,0.0020202020202020198,0.0020449897750511197,0.267814927389395,189,0.00404115837747796,1177,1213,51.086914280370415,17.015708130422233
21,51.116612,17.023873000000002,Jagiełły / Dmowskiego,368.74074497149496,0.00213219616204691,0.00199203187250996,0.352530382731725,149,0.00246701118078417,807,806,51.09296254688457,17.014537815154082
22,51.091457,17.017405,Plac Powstańców lšskich,203.95530452201402,0.0020661157024793398,0.0019801980198019802,0.28222127174223,168,0.00341890204904244,1262,1280,51.12381175160063,17.029482765386792
23,51.10592000000001,17.075857,Wróblewskiego (ZOO),213.58459737760398,0.00203665987780041,0.00194174757281553,0.304179566563468,153,0.00334200472485637,1264,1320,51.086402294708506,17.039351327273835
24,51.084239,17.02439,lężna / Aleja Winiowa,156.116627847936,0.00195694716242661,0.0019723865877712,0.202588181401741,296,0.0112824615618615,6360,6472,51.13274012405346,17.039791401306438
25,51.129565,16.989853,Popowice,308.848628824458,0.00205338809034908,0.0020661157024793398,0.28703533308796503,209,0.0040954119014369,1814,1817,51.047674973945455,16.760691457876376
26,51.103216,16.9461,Trymanda / Mińska,333.793896567503,0.0020242914979757103,0.0020408163265306103,0.270363439377524,143,0.0030882208264606604,805,823,51.124450133426656,16.94060987198004
27,51.109332,17.060510999999998,Janiszewskiego (PWr),221.379726261158,0.00195694716242661,0.00201207243460765,0.367420349434738,140,0.00210021488797068,581,555,51.08807039079025,17.04488323997962
