source,target,weight,lat_source,lng_source,lat_target,lng_target
66,187,1,51.089315,17.001501,51.137258,17.048545999999998
66,78,23,51.089315,17.001501,51.110342,17.02601
66,185,1,51.089315,17.001501,51.14574,17.134929999999994
66,211,1,51.089315,17.001501,51.09724,16.97512
66,198,31,51.089315,17.001501,51.109433,16.969097
66,200,40,51.089315,17.001501,51.09009,17.0235
66,56,10,51.089315,17.001501,51.094653,17.026775
66,152,1,51.089315,17.001501,51.06628,17.05825
66,195,7,51.089315,17.001501,51.103854,17.03678
66,41,21,51.089315,17.001501,51.098959,17.051519
66,39,6,51.089315,17.001501,51.1004,17.045082999999998
66,146,4,51.089315,17.001501,51.09053,17.06373
66,65,90,51.089315,17.001501,51.093426,17.002893
66,84,103,51.089315,17.001501,51.074992,17.007057999999994
66,80,2,51.089315,17.001501,51.147339,17.114520000000002
66,20,1,51.089315,17.001501,51.118237,17.028792000000006
66,19,5,51.089315,17.001501,51.121059,16.993088
66,69,12,51.089315,17.001501,51.113141,17.012175
66,5,4,51.089315,17.001501,51.125276,16.984447
66,74,2,51.089315,17.001501,51.117155,17.000367999999998
66,126,1,51.089315,17.001501,51.13258,16.956970000000002
66,6,5,51.089315,17.001501,51.126907,16.978759
66,128,1,51.089315,17.001501,51.15755,16.92781
66,159,1,51.089315,17.001501,51.11397,17.10395
66,30,4,51.089315,17.001501,51.099401,16.941016
66,85,2,51.089315,17.001501,51.063834,17.083366
66,145,1,51.089315,17.001501,51.05909000000001,17.08687
66,124,1,51.089315,17.001501,51.118899,17.013476999999998
66,14,2,51.089315,17.001501,51.105207,17.053675
66,72,11,51.089315,17.001501,51.122636,16.975707999999994
66,28,1,51.089315,17.001501,51.107235,17.060715
66,48,3,51.089315,17.001501,51.122424,17.052013
66,170,7,51.089315,17.001501,51.08729,17.05115
66,154,5,51.089315,17.001501,51.08476,17.05309
66,196,2,51.089315,17.001501,51.071275,17.090906
66,58,38,51.089315,17.001501,51.08451,16.97223
66,184,2,51.089315,17.001501,51.14382,16.98789
66,9,157,51.089315,17.001501,51.100862,17.008224
66,197,1,51.089315,17.001501,51.11289,17.03971
66,92,1,51.089315,17.001501,51.143633,16.950712
66,133,2,51.089315,17.001501,51.140713,16.958199
66,81,2,51.089315,17.001501,51.13699,16.966199
66,0,10,51.089315,17.001501,51.108004,17.039528
66,62,1,51.089315,17.001501,51.113912,17.067207
66,34,6,51.089315,17.001501,51.111489,17.020981
66,33,30,51.089315,17.001501,51.103354,17.030704
66,37,15,51.089315,17.001501,51.104413,17.022536
66,22,73,51.089315,17.001501,51.091457,17.017405
66,156,1,51.089315,17.001501,51.12274,17.03061
66,44,3,51.089315,17.001501,51.113703,17.006287
66,35,4,51.089315,17.001501,51.113871,17.034484
66,29,1,51.089315,17.001501,51.120474,17.036641
66,47,1,51.089315,17.001501,51.121308,17.043077
66,174,4,51.089315,17.001501,51.127778,16.990915
66,10,435,51.089315,17.001501,51.086689,17.01248
66,68,116,51.089315,17.001501,51.099713,17.027905
66,209,1,51.089315,17.001501,51.08,17.00773
66,151,21,51.089315,17.001501,51.06667,16.99435
66,150,29,51.089315,17.001501,51.06841,17.003989999999998
66,166,86,51.089315,17.001501,51.08022,16.994670000000006
66,75,2,51.089315,17.001501,51.11277000000001,16.994446
66,109,1,51.089315,17.001501,51.11869,16.95336
66,8,4,51.089315,17.001501,51.112154,17.060451
66,2,25,51.089315,17.001501,51.109782,17.030175
66,53,3,51.089315,17.001501,51.116822,17.051845
66,165,132,51.089315,17.001501,51.07329,16.99485
66,111,24,51.089315,17.001501,51.0775,16.96396
66,43,2,51.089315,17.001501,51.115354,16.998732
66,88,79,51.089315,17.001501,51.111874,16.960692
66,121,3,51.089315,17.001501,51.11059,16.95514
66,12,73,51.089315,17.001501,51.094521,17.020876
66,71,9,51.089315,17.001501,51.107471,17.033335
66,113,7,51.089315,17.001501,51.08015,17.062279999999998
66,31,17,51.089315,17.001501,51.11236,16.973689
66,60,1,51.089315,17.001501,51.097147,17.056251
66,42,2,51.089315,17.001501,51.104571,17.048102
66,26,6,51.089315,17.001501,51.103216,16.9461
66,94,3,51.089315,17.001501,51.100211,16.951601999999998
66,90,26,51.089315,17.001501,51.065777098421,16.988575458527
66,32,13,51.089315,17.001501,51.110274,17.034912
66,23,2,51.089315,17.001501,51.10592000000001,17.075857
66,16,2,51.089315,17.001501,51.113562051419,17.050673961639
66,45,3,51.089315,17.001501,51.117668,17.007137
66,59,55,51.089315,17.001501,51.097209,17.013967
66,63,23,51.089315,17.001501,51.102117,17.013683
66,127,27,51.089315,17.001501,51.09431,17.014789999999998
66,118,7,51.089315,17.001501,51.0586,17.014110000000002
66,87,7,51.089315,17.001501,51.059458,17.006542
66,163,53,51.089315,17.001501,51.08283,17.04824
66,160,135,51.089315,17.001501,51.08361,17.03523
66,171,4,51.089315,17.001501,51.083551,17.060519
66,119,10,51.089315,17.001501,51.06163400000001,16.996738
66,140,1,51.089315,17.001501,51.11514,17.074360000000002
66,199,27,51.089315,17.001501,51.10823,17.021379999999994
66,77,2,51.089315,17.001501,51.108288,17.064884
66,24,56,51.089315,17.001501,51.084239,17.02439
66,57,29,51.089315,17.001501,51.089842,17.028225
66,120,38,51.089315,17.001501,51.07708,17.01824
66,144,11,51.089315,17.001501,51.072302,17.012384
66,13,8,51.089315,17.001501,51.112911,17.001360000000002
66,38,26,51.089315,17.001501,51.101322,17.028528
66,89,29,51.089315,17.001501,51.07692,17.041439
66,107,10,51.089315,17.001501,51.077147,17.046785
66,70,62,51.089315,17.001501,51.098027,17.006977
